mrt_code,mrt_name,address,floor_type,room_num,price,size,floor,parking,link
O10,中山國小捷運站,台北市中山區民權東路一段,整層住家,4,266400,115.94,4F/16F,無,//rent.591.com.tw/home/house/detail/2/9265171.html
BR21,葫洲捷運站,台北市內湖區康寧路三段70巷,整層住家,7,171300,116.24,1F/5F,無,//rent.591.com.tw/home/house/detail/2/9350900.html
BL18,市政府捷運站,台北市信義區紫雲街,整層住家,5,174000,116.31,5F/15F,無,//rent.591.com.tw/home/house/detail/2/9362789.html
BR09,大安捷運站,台北市大安區信義路三段,整層住家,4,386600,117.53,4F/15F,無,//rent.591.com.tw/home/house/detail/2/9372305.html
R19,石牌捷運站,台北市士林區天母西路117巷,整層住家,4,193000,118.24,2F/8F,無,//rent.591.com.tw/home/house/detail/2/9209067.html
R19,石牌捷運站,台北市北投區天母西路117巷,整層住家,4,193000,118.24,2F/8F,無,//rent.591.com.tw/home/house/detail/2/9187785.html
R16,士林捷運站,台北市士林區至善路二段,整層住家,4,183600,118.5,3F/16F,無,//rent.591.com.tw/home/house/detail/2/9432871.html
R16,士林捷運站,台北市士林區至善路二段166號,整層住家,4,207800,118.71,10F/16F,無,//rent.591.com.tw/home/house/detail/2/9382541.html
R16,士林捷運站,台北市士林區至善路二段,整層住家,4,136600,118.74,10F/16F,無,//rent.591.com.tw/home/house/detail/2/9264314.html
R16,士林捷運站,台北市士林區至善路二段,整層住家,2,207800,118.75,11F/16F,無,//rent.591.com.tw/home/house/detail/2/9450445.html
R03,台北101/世貿捷運站,台北市信義區松平路,整層住家,6,577200,118,整棟/4F,無,//rent.591.com.tw/home/house/detail/2/9251299.html
O10,中山國小捷運站,台北市中山區中山北路二段,整層住家,3,287300,119.42,14F/15F,無,//rent.591.com.tw/home/house/detail/2/9234181.html
R13,民權西路捷運站,台北市中山區中山北路二段,整層住家,3,289700,119.42,13F/16F,無,//rent.591.com.tw/home/house/detail/2/9383060.html
O10,中山國小捷運站,台北市中山區中山北路二段,整層住家,4,280000,119.42,9F/16F,無,//rent.591.com.tw/home/house/detail/2/9406159.html
R13,民權西路捷運站,台北市中山區中山北路二段,整層住家,2,297200,119.42,12F/15F,無,//rent.591.com.tw/home/house/detail/2/9243667.html
R19,石牌捷運站,台北市北投區行義路,整層住家,4,140100,119.94,4F/14F,無,//rent.591.com.tw/home/house/detail/2/9375701.html
R19,石牌捷運站,台北市北投區行義路54號,整層住家,4,140100,119.94,4F/13F,無,//rent.591.com.tw/home/house/detail/2/9299135.html
G15,松江南京捷運站,台北市中山區新生北路一段,整層住家,2,33800,12.06,9F/9F,無,//rent.591.com.tw/home/house/detail/2/9343920.html
G15,松江南京捷運站,台北市中山區新生北路一段69-2號,整層住家,2,33800,12.07,9F/9F,無,//rent.591.com.tw/home/house/detail/2/9404798.html
BL19,永春捷運站,台北市信義區忠孝東路五段,整層住家,1,42700,12.12,5F/11F,無,//rent.591.com.tw/home/house/detail/2/9286008.html
BL16,忠孝敦化捷運站,台北市大安區市民大道四段,整層住家,1,28900,12.15,2F/7F,無,//rent.591.com.tw/home/house/detail/2/9305187.html
BL19,永春捷運站,台北市信義區忠孝東路五段,整層住家,1,40600,12.17,4F/11F,無,//rent.591.com.tw/home/house/detail/2/9422105.html
BL19,永春捷運站,台北市信義區忠孝東路五段,整層住家,1,38200,12.17,3F/11F,無,//rent.591.com.tw/home/house/detail/2/9453272.html
